Fecha y hora,Vehiculo,Edad,Sexo,Tipo de Siniestro,Otro vehiculo,Lugar del Siniestro
1/1/12 0:00,PEATON,13,M,ATROPELLO DE PEATON,CAMIONETA,"CAMINO MALDONADO  esq. CAMPILLOS, MONTEVIDEO"
1/1/12 21:25,AUTO,39,F,COLISION ENTRE VEHICULOS,AUTO,"RUTA 11 KM. 164, CANELONES"
1/1/12 21:25,AUTO,33,M,COLISION ENTRE VEHICULOS,AUTO,"RUTA 11 KM. 164, CANELONES"
2/1/12 17:20,BICICLETA,45,M,COLISION ENTRE VEHICULOS,AUTO,"RUTA 9 KM. 212, ROCHA"
3/1/12 7:30,MOTO,31,M,COLISION ENTRE VEHICULOS,OMNIBUS,"ELIAS REGULES , CANELONES"
5/1/12 8:30,MOTO,44,M,COLISION ENTRE VEHICULOS,MOTO,"RUTA CIENTODOS  ESQUINA JOSE BELLONI, MONTEVIDEO"
5/1/12 18:20,PEATON,77,M,ATROPELLO DE PEATON,AUTO,"RUTA INTERBALNEARIA KM. 44200, CANELONES"
5/1/12 21:45,AUTO,Sin Dato,M,DESPISTE,,"CNO. AGROLAND, MALDONADO"
6/1/12 10:10,AUTO,24,F,DESPISTE,-,"RUTA 93, MALDONADO"
6/1/12 14:00,PEATON,36,M,ATROPELLO DE PEATON,CAMION,"RUTA 6 KM. 64, CANELONES"
8/1/12 2:00,AUTO,37,M,COLISION ENTRE VEHICULOS,CAMIONETA,"RUTA 8 KM 427, CERRO LARGO"
10/1/12 10:45,MOTO,24,M,COLISION ENTRE VEHICULOS,CAMIONETA,"NICOLAS LORENZO Y SEQUEIRA, PAYSANDU"
10/1/12 16:00,MOTO,61,M,COLISION ENTRE VEHICULOS,MOTO,"CAMINO DOMINGO ARENA ELISA A MENENDEZ, MONTEVIDEO"
11/1/12 1:10,MOTO,19,M,CAIDA,-,"AV. DE LOS IRACUNDOS Y ANDRESITO, PAYSANDU"
11/1/12 3:55,MOTO,32,M,COLISION ENTRE VEHICULOS,CAMION,"ANSINA esq. ZELMAR MICHELINI, FLORES"
11/1/12 12:30,MOTO,55,M,COLISION ENTRE VEHICULOS,CAMION,"BOULEVARD JOSE BATLLE Y ORDO„EZ esq. AVENIDA GENERAL EUGENIO GARZON, MONTEVIDEO"
